date,temperature
2026-09-13 21:59:08, 18
2026-09-13 21:59:10, 18
2026-09-13 21:59:13, 18
2026-09-13 21:59:15, 18
2026-09-13 21:59:18, 18
2026-09-13 21:59:20, 20
2026-09-13 21:59:23, 18
2026-09-13 21:59:25, 18
2026-09-13 21:59:28, 18
2026-09-13 21:59:30, 18
2026-09-13 21:59:33, 18
2026-09-13 21:59:35, 19
2026-09-13 21:59:38, 19
2026-09-13 21:59:40, 18
2026-09-13 21:59:43, 20
2026-09-13 21:59:45, 18
2026-09-13 21:59:48, 19
2026-09-13 21:59:50, 19
2026-09-13 21:59:53, 18
2026-09-13 21:59:55, 18
2026-09-13 21:59:58, 18
2026-09-13 22:00:00, 19
2026-09-13 22:00:03, 18
2026-09-13 22:00:05, 18
2026-09-13 22:00:08, 18
2026-09-13 22:00:10, 18
2026-09-13 22:00:13, 18
2026-09-13 22:00:15, 18
2026-09-13 22:00:18, 19
2026-09-13 22:00:20, 20
2026-09-13 22:00:23, 18
2026-09-13 22:00:25, 19
2026-09-13 22:00:28, 19
2026-09-13 22:00:30, 19
2026-09-13 22:00:33, 18
2026-09-13 22:00:35, 19
2026-09-13 22:00:37, 18
2026-09-13 22:00:40, 18
2026-09-13 22:00:42, 20
2026-09-13 22:00:45, 19
2026-09-13 22:00:47, 19
2026-09-13 22:00:50, 18
2026-09-13 22:00:52, 19
2026-09-13 22:00:55, 18
2026-09-13 22:00:57, 20
2026-09-13 22:01:00, 19
2026-09-13 22:01:02, 18
2026-09-13 22:01:05, 19
2026-09-13 22:01:07, 20
2026-09-13 22:01:10, 18
2026-09-13 22:01:12, 18
2026-09-13 22:01:15, 20
2026-09-13 22:01:17, 18
2026-09-13 22:01:20, 18
2026-09-13 22:01:22, 20
2026-09-13 22:01:25, 18
2026-09-13 22:01:27, 19
2026-09-13 22:01:30, 18
2026-09-13 22:01:32, 18
2026-09-13 22:01:35, 20
2026-09-13 22:01:37, 18
2026-09-13 22:01:40, 18
2026-09-13 22:01:42, 19
2026-09-13 22:01:45, 19
2026-09-13 22:01:47, 19
